Name,Diet,Length,Taxonomy,Species
Hypsilophodon,Herbivorous,2.3M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Hypsilophodontidae,Foxii
Iguanodon,Herbivorous,10.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Bernissartensis
Indosuchus,Carnivorous,7.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria,Raptorius
Irritator,Carnivorous,6.5M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Spinosauroidea Spinosauridae Spinosaurinae,Challengeri
Janenschia,Herbivorous,20.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Robusta
Jaxartosaurus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Aralensis
Jingshanosaurus,Herbivorous,5.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria,Xinwaensis
Jobaria,Herbivorous,21.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria,Tiguidensis
Juravenator,Carnivorous,0.8M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Compsognathidae,Starki
Kentrosaurus,Herbivorous,5.0M,Dinosauria Ornithischia Genasauria Thyreophora Stegosauria Stegosauridae Stegosaurinae,Aethiopicus
Khaan,Omnivorous,1.8M,Dinosauria Saurischia Theropoda Neotheropoda Tetanurae Avetheropoda Coelurosauria Tyrannoraptora Maniraptoriformes Maniraptora Oviraptorosauria Caenagnathoidea Oviraptoridae Ingeniinae,Mckennai
Kotasaurus,Herbivorous,9.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda,Yamanpalliensis
Kritosaurus,Herbivorous,8.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Navajovius
Lambeosaurus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Lambeosaurinae,Lambei
Leaellynasaura,Herbivorous,2.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda,Amicagraphica
Leptoceratops,Herbivorous,3.0M,Dinosauria Ornithischia Genasauria Cerapoda Marginocephalia Ceratopsia Neoceratopsia Coronosauria,Gracilis
Ligabuesaurus,Herbivorous,24.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria,Leanzai
Liliensternus,Carnivorous,5.0M,Dinosauria Saurischia Theropoda Neotheropoda,Liliensterni
Lophorhothon,Herbivorous,4.5M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Atopus
Lophostropheus,Carnivorous,6.2M,Dinosauria Saurischia,Airelensis
Lufengosaurus,Herbivorous,6.0M,Dinosauria Saurischia Sauropodomorpha Prosauropoda Plateosauria Plateosauridae,Huenei
Lurdusaurus,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea,Arenatus
Lycorhinus,Herbivorous,1.2M,Dinosauria Ornithischia Genasauria Cerapoda Heterodontosauridae,Angustidens
Magyarosaurus,Herbivorous,5.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Dacus
Maiasaura,Herbivorous,9.0M,Dinosauria Ornithischia Genasauria Cerapoda Ornithopoda Euornithopoda Iguanadontia Euiguanadontia Dryomorpha Ankylopollexia Iguanodontoidea Hadrosauridae Euhadrosauria Hadrosaurinae,Peeblesorum
Majungasaurus,Carnivorous,6.0M,Dinosauria Saurischia Theropoda Neotheropoda Ceratosauria Neoceratosauria Abelisauridae,Atopus
Malawisaurus,Herbivorous,9.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda Neosauropoda Macronaria Camarasauromorpha Titanosauriformes Titanosauria Lithostrotia,Dixeyi
Mamenchisaurus,Herbivorous,22.0M,Dinosauria Saurischia Sauropodomorpha Sauropoda Eusauropoda,Constructus
